,rr
0,992.0
1,1016.0
2,985.3333333333333
3,1001.3333333333334
4,982.6666666666667
5,909.3333333333334
6,905.3333333333334
7,928.0
8,866.6666666666667
9,904.0
10,917.3333333333334
11,932.0
12,904.0
13,986.6666666666667
14,1022.6666666666666
15,934.6666666666666
16,992.0
17,1017.3333333333334
18,902.6666666666666
19,912.0
20,946.6666666666666
21,910.6666666666666
22,898.6666666666666
23,950.6666666666666
24,941.3333333333334
25,866.6666666666667
26,929.3333333333334
27,990.6666666666667
28,914.6666666666666
29,962.6666666666666
30,996.0
31,866.6666666666667
32,885.3333333333333
33,816.0
34,796.0
35,698.6666666666666
36,712.0
37,725.3333333333334
38,748.0
39,777.3333333333334
40,792.0
41,805.3333333333334
42,820.0
43,801.3333333333334
44,794.6666666666666
45,808.0
46,841.3333333333334
47,817.3333333333334
48,842.6666666666666
49,882.6666666666667
50,882.6666666666667
51,850.6666666666666
52,869.3333333333333
53,920.0
54,897.3333333333334
55,936.0
56,965.3333333333334
57,918.6666666666666
58,932.0
59,948.0
60,877.3333333333333
61,872.0
62,878.6666666666667
63,849.3333333333334
64,860.0
65,904.0
66,894.6666666666667
67,888.0
68,898.6666666666666
69,893.3333333333333
70,866.6666666666667
71,884.0
72,870.6666666666667
73,836.0
74,860.0
75,866.6666666666667
76,858.6666666666667
77,868.0
78,900.0
79,908.0
80,870.6666666666667
81,889.3333333333333
82,888.0
83,842.6666666666666
84,856.0
85,884.0
86,876.0
87,852.0
88,862.6666666666667
89,873.3333333333333
90,841.3333333333334
91,858.6666666666667
92,860.0
93,828.0
94,832.0
95,862.6666666666667
96,782.6666666666666
97,741.3333333333333
98,713.3333333333334
99,772.0
100,726.6666666666666
101,728.0
102,760.0
103,802.6666666666666
104,818.6666666666666
105,772.0
106,781.3333333333334
107,789.3333333333334
108,776.0
109,749.3333333333333
110,757.3333333333333
111,764.0
112,734.6666666666667
113,744.0
114,768.0
115,830.6666666666666
116,876.0
117,958.6666666666666
118,972.0
119,936.0
120,1024.0
121,1092.0
122,996.0
123,1045.3333333333333
124,993.3333333333333
125,860.0
126,888.0
127,881.3333333333333
128,854.6666666666667
129,822.6666666666666
130,932.0
131,950.6666666666666
132,913.3333333333334
133,880.0
134,917.3333333333334
135,944.0
136,893.3333333333333
137,898.6666666666666
138,938.6666666666666
139,886.6666666666667
140,838.6666666666666
141,808.0
142,786.6666666666666
143,741.3333333333333
144,761.3333333333333
145,821.3333333333334
146,925.3333333333334
147,874.6666666666667
148,908.0
149,966.6666666666666
150,936.0
151,948.0
152,1005.3333333333334
153,937.3333333333334
154,880.0
155,912.0
156,929.3333333333334
157,909.3333333333334
158,942.6666666666666
159,992.0
160,982.6666666666667
161,964.0
162,992.0
163,962.6666666666666
164,902.6666666666666
165,941.3333333333334
166,978.6666666666666
167,898.6666666666666
168,904.0
169,864.0
170,854.6666666666667
171,792.0
172,788.0
173,737.3333333333333
174,780.0
175,781.3333333333334
176,806.6666666666666
177,724.0
178,732.0
179,686.6666666666666
180,700.0
181,676.0
182,682.6666666666666
183,697.3333333333334
184,748.0
185,833.3333333333334
186,925.3333333333334
187,972.0
188,1052.0
189,1094.6666666666667
190,1117.3333333333333
191,1060.0
192,1052.0
193,1050.6666666666667
194,930.6666666666666
195,888.0
196,902.6666666666666
197,822.6666666666666
198,782.6666666666666
199,808.0
200,857.3333333333333
201,920.0
202,885.3333333333333
203,957.3333333333334
204,928.0
205,858.6666666666667
206,864.0
207,881.3333333333333
208,922.6666666666666
209,833.3333333333334
210,844.0
211,809.3333333333334
212,861.3333333333333
213,942.6666666666666
214,936.0
215,860.0
216,894.6666666666667
217,904.0
218,842.6666666666666
219,829.3333333333334
220,874.6666666666667
221,969.3333333333334
222,980.0
223,1036.0
224,1048.0
225,953.3333333333334
226,917.3333333333334
227,945.3333333333334
228,966.6666666666666
229,862.6666666666667
230,910.6666666666666
231,922.6666666666666
232,920.0
233,918.6666666666666
234,981.3333333333333
235,1008.0
236,953.3333333333334
237,972.0
238,970.6666666666666
239,873.3333333333333
240,886.6666666666667
241,926.6666666666666
242,862.6666666666667
243,853.3333333333334
244,905.3333333333334
